CPU,Time,GHz
0,2024-03-09 12:29:06.338695,0.577
1,2024-03-09 12:29:06.338703,0.458
2,2024-03-09 12:29:06.338706,0.733
3,2024-03-09 12:29:06.338709,0.343
0,2024-03-09 12:29:06.452151,1.311
1,2024-03-09 12:29:06.452158,1.023
2,2024-03-09 12:29:06.452160,1.130
3,2024-03-09 12:29:06.452161,0.701
0,2024-03-09 12:29:06.560229,0.363
1,2024-03-09 12:29:06.560235,0.812
2,2024-03-09 12:29:06.560236,0.426
3,2024-03-09 12:29:06.560238,0.157
0,2024-03-09 12:29:06.669199,0.246
1,2024-03-09 12:29:06.669205,0.476
2,2024-03-09 12:29:06.669206,1.085
3,2024-03-09 12:29:06.669208,0.028
0,2024-03-09 12:29:06.777977,0.635
1,2024-03-09 12:29:06.777984,0.125
2,2024-03-09 12:29:06.777986,0.445
3,2024-03-09 12:29:06.777987,0.022
0,2024-03-09 12:29:06.893062,0.593
1,2024-03-09 12:29:06.893071,0.312
2,2024-03-09 12:29:06.893072,0.229
3,2024-03-09 12:29:06.893073,0.461
0,2024-03-09 12:29:07.004485,0.637
1,2024-03-09 12:29:07.004491,0.189
2,2024-03-09 12:29:07.004493,0.870
3,2024-03-09 12:29:07.004494,0.175
0,2024-03-09 12:29:07.114796,0.058
1,2024-03-09 12:29:07.114801,0.285
2,2024-03-09 12:29:07.114803,0.447
3,2024-03-09 12:29:07.114804,0.034
0,2024-03-09 12:29:07.226636,0.026
1,2024-03-09 12:29:07.226643,0.033
2,2024-03-09 12:29:07.226644,0.260
3,2024-03-09 12:29:07.226646,0.013
0,2024-03-09 12:29:07.336746,0.047
1,2024-03-09 12:29:07.336750,0.025
2,2024-03-09 12:29:07.336752,0.218
3,2024-03-09 12:29:07.336754,0.028
0,2024-03-09 12:29:07.446597,0.144
1,2024-03-09 12:29:07.446602,0.063
2,2024-03-09 12:29:07.446604,0.123
3,2024-03-09 12:29:07.446605,0.023
0,2024-03-09 12:29:07.554503,0.074
1,2024-03-09 12:29:07.554507,0.031
2,2024-03-09 12:29:07.554508,0.057
3,2024-03-09 12:29:07.554509,0.022
0,2024-03-09 12:29:07.665273,0.258
1,2024-03-09 12:29:07.665277,0.034
2,2024-03-09 12:29:07.665278,0.264
3,2024-03-09 12:29:07.665279,1.265
0,2024-03-09 12:29:07.773568,0.025
1,2024-03-09 12:29:07.773573,0.018
2,2024-03-09 12:29:07.773574,0.063
3,2024-03-09 12:29:07.773575,0.018
0,2024-03-09 12:29:07.885336,0.017
1,2024-03-09 12:29:07.885343,0.020
2,2024-03-09 12:29:07.885440,0.031
3,2024-03-09 12:29:07.885442,0.026
0,2024-03-09 12:29:07.996638,0.017
1,2024-03-09 12:29:07.996642,0.019
2,2024-03-09 12:29:07.996643,0.021
3,2024-03-09 12:29:07.996644,0.021
0,2024-03-09 12:29:08.107868,0.018
1,2024-03-09 12:29:08.107876,0.019
2,2024-03-09 12:29:08.107878,0.020
3,2024-03-09 12:29:08.107879,0.018
0,2024-03-09 12:29:08.218733,0.013
1,2024-03-09 12:29:08.218737,0.016
2,2024-03-09 12:29:08.218739,0.021
3,2024-03-09 12:29:08.218741,0.015
0,2024-03-09 12:29:08.330915,0.076
1,2024-03-09 12:29:08.330919,0.070
2,2024-03-09 12:29:08.330920,0.086
3,2024-03-09 12:29:08.330921,0.017
0,2024-03-09 12:29:08.446728,0.290
1,2024-03-09 12:29:08.446733,0.283
2,2024-03-09 12:29:08.446734,0.714
3,2024-03-09 12:29:08.446736,0.472
0,2024-03-09 12:29:08.558201,0.064
1,2024-03-09 12:29:08.558205,0.019
2,2024-03-09 12:29:08.558206,0.232
3,2024-03-09 12:29:08.558207,0.108
0,2024-03-09 12:29:08.668329,0.070
1,2024-03-09 12:29:08.668333,0.151
2,2024-03-09 12:29:08.668334,0.023
3,2024-03-09 12:29:08.668335,0.123
0,2024-03-09 12:29:08.778865,0.015
1,2024-03-09 12:29:08.778869,0.028
2,2024-03-09 12:29:08.778870,0.225
3,2024-03-09 12:29:08.778872,0.148
0,2024-03-09 12:29:08.891742,0.011
1,2024-03-09 12:29:08.891746,0.014
2,2024-03-09 12:29:08.891748,0.019
3,2024-03-09 12:29:08.891749,0.016
0,2024-03-09 12:29:09.004472,0.091
1,2024-03-09 12:29:09.004475,0.112
2,2024-03-09 12:29:09.004477,0.132
3,2024-03-09 12:29:09.004478,0.047
0,2024-03-09 12:29:09.116247,0.030
1,2024-03-09 12:29:09.116251,0.034
2,2024-03-09 12:29:09.116252,0.020
3,2024-03-09 12:29:09.116253,0.019
0,2024-03-09 12:29:09.226643,0.014
1,2024-03-09 12:29:09.226646,0.013
2,2024-03-09 12:29:09.226648,0.158
3,2024-03-09 12:29:09.226649,0.204
0,2024-03-09 12:29:09.340107,0.061
1,2024-03-09 12:29:09.340112,0.052
2,2024-03-09 12:29:09.340114,0.300
3,2024-03-09 12:29:09.340115,0.098
0,2024-03-09 12:29:09.452556,0.146
1,2024-03-09 12:29:09.452560,0.129
2,2024-03-09 12:29:09.452562,0.220
3,2024-03-09 12:29:09.452563,0.095
0,2024-03-09 12:29:09.566645,0.012
1,2024-03-09 12:29:09.566650,0.066
2,2024-03-09 12:29:09.566651,0.099
3,2024-03-09 12:29:09.566652,0.143
0,2024-03-09 12:29:09.679133,0.059
1,2024-03-09 12:29:09.679138,0.033
2,2024-03-09 12:29:09.679139,0.032
3,2024-03-09 12:29:09.679140,0.132
0,2024-03-09 12:29:09.791191,0.069
1,2024-03-09 12:29:09.791195,0.156
2,2024-03-09 12:29:09.791197,0.023
3,2024-03-09 12:29:09.791198,0.019
0,2024-03-09 12:29:09.904121,0.083
1,2024-03-09 12:29:09.904127,0.071
2,2024-03-09 12:29:09.904128,0.031
3,2024-03-09 12:29:09.904129,0.071
0,2024-03-09 12:29:10.015999,0.033
1,2024-03-09 12:29:10.016003,0.144
2,2024-03-09 12:29:10.016005,0.017
3,2024-03-09 12:29:10.016007,0.022
0,2024-03-09 12:29:10.129287,0.110
1,2024-03-09 12:29:10.129295,0.128
