CPU,Time,GHz
0,2024-03-09 12:39:54.770101,1.033
1,2024-03-09 12:39:54.770106,0.866
2,2024-03-09 12:39:54.770108,0.620
3,2024-03-09 12:39:54.770109,1.162
0,2024-03-09 12:39:54.931805,0.060
1,2024-03-09 12:39:54.931809,0.104
2,2024-03-09 12:39:54.931810,0.679
3,2024-03-09 12:39:54.931811,0.650
0,2024-03-09 12:39:55.096790,0.073
1,2024-03-09 12:39:55.096801,0.708
2,2024-03-09 12:39:55.096804,0.422
3,2024-03-09 12:39:55.096807,0.256
0,2024-03-09 12:39:55.265337,0.021
1,2024-03-09 12:39:55.265511,0.038
2,2024-03-09 12:39:55.265513,0.409
3,2024-03-09 12:39:55.265518,0.284
0,2024-03-09 12:39:55.434200,0.047
1,2024-03-09 12:39:55.434207,0.020
2,2024-03-09 12:39:55.434208,0.236
3,2024-03-09 12:39:55.434210,0.121
0,2024-03-09 12:39:55.593671,0.035
1,2024-03-09 12:39:55.593676,0.063
2,2024-03-09 12:39:55.593677,0.047
3,2024-03-09 12:39:55.593678,0.868
0,2024-03-09 12:39:55.757320,0.082
1,2024-03-09 12:39:55.757335,0.074
2,2024-03-09 12:39:55.757338,0.032
3,2024-03-09 12:39:55.757341,0.016
0,2024-03-09 12:39:55.923807,0.039
1,2024-03-09 12:39:55.923821,0.042
2,2024-03-09 12:39:55.923825,0.148
3,2024-03-09 12:39:55.923827,0.011
0,2024-03-09 12:39:56.092265,0.091
1,2024-03-09 12:39:56.092282,0.141
2,2024-03-09 12:39:56.092285,0.233
3,2024-03-09 12:39:56.092288,0.010
0,2024-03-09 12:39:56.262070,0.020
1,2024-03-09 12:39:56.262084,0.094
2,2024-03-09 12:39:56.262088,0.074
3,2024-03-09 12:39:56.262091,0.016
0,2024-03-09 12:39:56.432959,0.176
1,2024-03-09 12:39:56.432969,0.142
2,2024-03-09 12:39:56.432971,0.568
3,2024-03-09 12:39:56.432972,0.129
0,2024-03-09 12:39:56.599584,0.117
1,2024-03-09 12:39:56.599591,0.020
2,2024-03-09 12:39:56.599592,0.023
3,2024-03-09 12:39:56.599594,0.015
0,2024-03-09 12:39:56.767822,0.043
1,2024-03-09 12:39:56.767829,0.023
2,2024-03-09 12:39:56.767830,0.183
3,2024-03-09 12:39:56.767831,0.161
0,2024-03-09 12:39:56.935146,0.014
1,2024-03-09 12:39:56.935154,0.011
2,2024-03-09 12:39:56.935156,0.165
3,2024-03-09 12:39:56.935157,0.060
0,2024-03-09 12:39:57.101672,0.100
1,2024-03-09 12:39:57.101679,0.027
2,2024-03-09 12:39:57.101681,0.064
3,2024-03-09 12:39:57.101682,0.022
0,2024-03-09 12:39:57.265803,0.012
1,2024-03-09 12:39:57.265811,0.015
2,2024-03-09 12:39:57.265813,0.132
3,2024-03-09 12:39:57.265814,0.157
0,2024-03-09 12:39:57.426686,0.015
1,2024-03-09 12:39:57.426697,0.027
2,2024-03-09 12:39:57.426698,0.340
3,2024-03-09 12:39:57.426699,0.181
0,2024-03-09 12:39:57.590994,0.020
1,2024-03-09 12:39:57.591003,0.074
2,2024-03-09 12:39:57.591004,0.275
3,2024-03-09 12:39:57.591006,0.148
0,2024-03-09 12:39:57.756313,0.014
1,2024-03-09 12:39:57.756321,0.014
2,2024-03-09 12:39:57.756322,0.016
3,2024-03-09 12:39:57.756323,0.067
0,2024-03-09 12:39:57.922232,0.052
1,2024-03-09 12:39:57.922241,0.025
2,2024-03-09 12:39:57.922243,0.062
3,2024-03-09 12:39:57.922244,0.043
0,2024-03-09 12:39:58.089748,0.038
1,2024-03-09 12:39:58.089756,0.030
2,2024-03-09 12:39:58.089757,0.082
3,2024-03-09 12:39:58.089758,0.297
0,2024-03-09 12:39:58.250698,0.048
1,2024-03-09 12:39:58.250706,0.078
2,2024-03-09 12:39:58.250707,0.065
3,2024-03-09 12:39:58.250708,0.075
0,2024-03-09 12:39:58.416913,0.025
1,2024-03-09 12:39:58.416921,0.151
2,2024-03-09 12:39:58.416922,0.129
3,2024-03-09 12:39:58.416923,0.183
0,2024-03-09 12:39:58.603278,2.568
1,2024-03-09 12:39:58.603287,0.164
2,2024-03-09 12:39:58.603289,0.151
3,2024-03-09 12:39:58.603290,0.154
0,2024-03-09 12:39:58.792684,3.164
1,2024-03-09 12:39:58.792692,0.062
2,2024-03-09 12:39:58.792697,0.164
3,2024-03-09 12:39:58.792699,0.189
0,2024-03-09 12:39:58.980615,2.742
1,2024-03-09 12:39:58.980623,0.052
2,2024-03-09 12:39:58.980625,0.039
3,2024-03-09 12:39:58.980626,0.020
0,2024-03-09 12:39:59.169168,2.822
